Order Date,Product Category,Sales per Unit,Quantity,Total Sales
2023-01-01,Beauty,500,3,1500
2023-01-01,Clothing,300,3,900
2023-01-01,Clothing,300,4,1200
2023-01-02,Clothing,500,3,1500
2023-01-02,Clothing,50,3,150
2023-01-02,Electronics,30,3,90
2023-01-02,Beauty,25,1,25
2023-01-03,Clothing,505,3,1515
2023-01-03,Beauty,300,2,600
2023-01-04,Beauty,500,2,1000
2023-01-04,Clothing,305,2,610
2023-01-04,Clothing,50,3,150
2023-01-04,Beauty,30,3,90
2023-01-04,Clothing,305,3,915
2023-01-05,Electronics,50,1,50
2023-01-05,Beauty,25,2,50
2023-01-05,Beauty,25,2,50
2023-01-05,Electronics,500,2,1000
2023-01-06,Clothing,500,1,500
2023-01-06,Electronics,30,4,120
2023-01-06,Clothing,55,2,110
2023-01-07,Beauty,30,3,90
2023-01-07,Electronics,25,3,75
2023-01-07,Clothing,495,1,495
2023-01-07,Clothing,25,3,75
2023-01-08,Beauty,505,2,1010
2023-01-08,Electronics,25,1,25
2023-01-08,Clothing,50,2,100
2023-01-08,Beauty,505,3,1515
2023-01-08,Clothing,300,2,600
2023-01-09,Clothing,50,4,200
2023-01-10,Clothing,30,1,30
2023-01-10,Electronics,50,4,200
2023-01-10,Electronics,20,1,20
2023-01-10,Electronics,30,4,120
2023-01-11,Clothing,30,3,90
2023-01-11,Beauty,25,4,100
2023-01-11,Beauty,30,3,90
2023-01-13,Beauty,25,1,25
2023-01-13,Electronics,30,1,30
2023-01-13,Electronics,25,4,100
2023-01-13,Clothing,300,4,1200
2023-01-13,Electronics,300,2,600
2023-01-14,Beauty,30,3,90
2023-01-14,Beauty,25,3,75
2023-01-14,Beauty,25,3,75
2023-01-14,Beauty,300,3,900
2023-01-14,Beauty,500,1,500
2023-01-15,Beauty,35,2,70
2023-01-15,Electronics,20,4,80
2023-01-15,Beauty,30,2,60
2023-01-15,Clothing,500,1,500
2023-01-15,Beauty,305,2,610
2023-01-15,Clothing,300,5,1500
2023-01-15,Beauty,305,2,610
2023-01-15,Electronics,25,4,100
2023-01-16,Beauty,300,4,1200
2023-01-16,Beauty,25,4,100
2023-01-16,Beauty,500,4,2000
2023-01-16,Electronics,500,4,2000
2023-01-16,Clothing,505,2,1010
2023-01-16,Electronics,495,2,990
2023-01-16,Clothing,295,3,885
2023-01-16,Clothing,305,2,610
2023-01-16,Clothing,25,1,25
2023-01-17,Clothing,500,2,1000
2023-01-17,Clothing,30,4,120
2023-01-17,Electronics,495,4,1980
2023-01-17,Beauty,500,1,500
2023-01-17,Beauty,505,1,505
2023-01-17,Beauty,30,5,150
2023-01-17,Clothing,25,1,25
2023-01-18,Clothing,45,4,180
2023-01-18,Beauty,25,3,75
2023-01-18,Beauty,30,2,60
2023-01-18,Electronics,300,1,300
2023-01-18,Beauty,505,2,1010
2023-01-18,Beauty,30,1,30
2023-01-19,Beauty,25,2,50
2023-01-19,Electronics,30,1,30
2023-01-19,Clothing,30,1,30
2023-01-20,Electronics,55,5,275
2023-01-20,Beauty,20,1,20
2023-01-20,Beauty,50,1,50
2023-01-20,Clothing,35,2,70
2023-01-20,Clothing,25,3,75
2023-01-20,Beauty,500,2,1000
2023-01-21,Clothing,305,5,1525
2023-01-21,Beauty,495,2,990
2023-01-21,Clothing,30,1,30
2023-01-21,Beauty,30,1,30
2023-01-21,Clothing,305,2,610
2023-01-21,Beauty,55,1,55
2023-01-21,Clothing,50,3,150
2023-01-21,Electronics,30,4,120
2023-01-21,Beauty,505,2,1010
2023-01-21,Electronics,500,4,2000
2023-01-21,Beauty,30,2,60
2023-01-22,Electronics,25,1,25
2023-01-22,Electronics,300,1,300
2023-01-22,Clothing,45,3,135
2023-01-22,Clothing,505,1,505
2023-01-22,Electronics,25,5,125
2023-01-23,Beauty,505,1,505
2023-01-23,Clothing,500,4,2000
2023-01-23,Clothing,45,3,135
2023-01-23,Electronics,35,4,140
2023-01-23,Electronics,500,2,1000
2023-01-23,Electronics,30,4,120
2023-01-23,Electronics,35,4,140
2023-01-24,Clothing,25,4,100
2023-01-24,Beauty,50,3,150
2023-01-24,Beauty,500,4,2000
2023-01-24,Electronics,505,5,2525
2023-01-24,Beauty,500,3,1500
2023-01-25,Clothing,30,4,120
2023-01-25,Electronics,25,5,125
2023-01-25,Beauty,30,3,90
2023-01-25,Electronics,50,1,50
2023-01-25,Clothing,295,5,1475
2023-01-25,Electronics,50,3,150
2023-01-25,Clothing,295,5,1475
2023-01-25,Electronics,50,1,50
2023-01-26,Clothing,505,1,505
2023-01-26,Beauty,500,3,1500
2023-01-26,Clothing,505,4,2020
2023-01-26,Electronics,25,4,100
2023-01-26,Clothing,30,4,120
2023-01-26,Beauty,300,3,900
2023-01-26,Beauty,505,4,2020
2023-01-26,Electronics,30,1,30
2023-01-26,Beauty,50,1,50
2023-01-26,Electronics,20,2,40
2023-01-27,Clothing,30,2,60
2023-01-27,Clothing,25,4,100
2023-01-27,Electronics,55,1,55
2023-01-27,Electronics,30,4,120
2023-01-27,Electronics,305,2,610
2023-01-27,Beauty,35,2,70
2023-01-27,Beauty,25,3,75
2023-01-27,Electronics,25,2,50
2023-01-27,Beauty,55,1,55
2023-01-27,Beauty,55,1,55
2023-01-28,Electronics,30,3,90
2023-01-28,Beauty,495,1,495
2023-01-28,Clothing,500,1,500
2023-01-28,Beauty,505,3,1515
2023-01-28,Electronics,30,1,30
2023-01-28,Clothing,300,3,900
2023-01-28,Beauty,495,3,1485
2023-01-29,Clothing,500,1,500
2023-01-29,Beauty,30,3,90
2023-01-29,Beauty,25,1,25
2023-01-29,Electronics,35,2,70
2023-01-29,Clothing,300,2,600
2023-01-29,Clothing,305,4,1220
2023-01-29,Clothing,495,2,990
2023-01-29,Electronics,45,4,180
2023-01-30,Electronics,30,4,120
2023-01-30,Beauty,505,1,505
2023-01-30,Electronics,30,4,120
2023-01-30,Beauty,50,1,50
2023-01-30,Electronics,25,4,100
2023-01-30,Clothing,55,2,110
2023-01-30,Clothing,500,2,1000
2023-01-30,Clothing,300,2,600
2023-01-30,Electronics,25,2,50
2023-01-30,Beauty,30,2,60
2023-01-30,Electronics,500,2,1000
2023-01-30,Beauty,25,1,25
2023-01-30,Electronics,30,3,90
2023-01-30,Electronics,500,1,500
2023-01-30,Electronics,30,3,90
2023-01-30,Electronics,495,3,1485
2023-01-31,Beauty,35,1,35
2023-01-31,Electronics,295,1,295
2023-01-31,Clothing,25,5,125
2023-01-31,Beauty,25,2,50
2023-01-31,Clothing,295,3,885
2023-01-31,Clothing,25,2,50
2023-01-31,Clothing,20,1,20
2023-01-31,Clothing,300,3,900
2023-01-31,Electronics,50,4,200
2023-01-31,Beauty,30,3,90
2023-01-31,Electronics,500,2,1000
2023-01-31,Electronics,500,1,500
2023-01-31,Clothing,305,2,610
